station_name_en,area,priority_group,facility_type,score_pct
Central,Central and Western,Medium,Hearing Impaired,66.66666666666666
Admiralty,Central and Western,Medium,Hearing Impaired,83.33333333333334
Tsim Sha Tsui,Yau Tsim Mong,Low,Hearing Impaired,66.66666666666666
Jordan,Yau Tsim Mong,Low,Hearing Impaired,66.66666666666666
Yau Ma Tei,Yau Tsim Mong,Low,Hearing Impaired,66.66666666666666
Mong Kok,Yau Tsim Mong,Medium,Hearing Impaired,66.66666666666666
Shek Kip Mei,Sham Shui Po,Medium,Hearing Impaired,66.66666666666666
Kowloon Tong,Kowloon City,Medium,Hearing Impaired,83.33333333333334
Lok Fu,Wong Tai Sin,Medium,Hearing Impaired,66.66666666666666
Wong Tai Sin,Wong Tai Sin,High,Hearing Impaired,66.66666666666666
Diamond Hill,Wong Tai Sin,Medium,Hearing Impaired,83.33333333333334
Choi Hung,Wong Tai Sin,High,Hearing Impaired,66.66666666666666
Kowloon Bay,Kwun Tong,Low,Hearing Impaired,66.66666666666666
Ngau Tau Kok,Kwun Tong,Medium,Hearing Impaired,66.66666666666666
Kwun Tong,Kwun Tong,High,Hearing Impaired,66.66666666666666
Prince Edward,Yau Tsim Mong,Low,Hearing Impaired,66.66666666666666
Sham Shui Po,Sham Shui Po,Medium,Hearing Impaired,66.66666666666666
Cheung Sha Wan,Sham Shui Po,Medium,Hearing Impaired,66.66666666666666
Lai Chi Kok,Sham Shui Po,Medium,Hearing Impaired,66.66666666666666
Mei Foo,Sham Shui Po,Medium,Hearing Impaired,83.33333333333334
Lai King,Kwai Tsing,High,Hearing Impaired,66.66666666666666
Kwai Fong,Kwai Tsing,High,Hearing Impaired,66.66666666666666
Kwai Hing,Kwai Tsing,High,Hearing Impaired,66.66666666666666
Tai Wo Hau,Tsuen Wan,Medium,Hearing Impaired,66.66666666666666
Tsuen Wan,Tsuen Wan,High,Hearing Impaired,66.66666666666666
Sheung Wan,Central and Western,Medium,Hearing Impaired,66.66666666666666
Wan Chai,Wan Chai,High,Hearing Impaired,66.66666666666666
Causeway Bay,Wan Chai,High,Hearing Impaired,66.66666666666666
Tin Hau,Wan Chai,Medium,Hearing Impaired,66.66666666666666
Fortress Hill,Eastern,Low,Hearing Impaired,66.66666666666666
North Point,Eastern,High,Hearing Impaired,66.66666666666666
Quarry Bay,Eastern,Medium,Hearing Impaired,66.66666666666666
Tai Koo,Eastern,High,Hearing Impaired,66.66666666666666
Sai Wan Ho,Eastern,Low,Hearing Impaired,66.66666666666666
Shau Kei Wan,Eastern,High,Hearing Impaired,66.66666666666666
Heng Fa Chuen,Eastern,Low,Hearing Impaired,66.66666666666666
Chai Wan,Eastern,Medium,Hearing Impaired,66.66666666666666
Lam Tin,Kwun Tong,Medium,Hearing Impaired,66.66666666666666
Hong Kong,Central and Western,Medium,Hearing Impaired,66.66666666666666
Kowloon,Yau Tsim Mong,Medium,Hearing Impaired,66.66666666666666
Olympic,Yau Tsim Mong,Medium,Hearing Impaired,66.66666666666666
Tsing Yi,Kwai Tsing,High,Hearing Impaired,66.66666666666666
Tung Chung,Islands,High,Hearing Impaired,58.333333333333336
Airport,Islands,High,Hearing Impaired,66.66666666666666
Yau Tong,Kwun Tong,Medium,Hearing Impaired,66.66666666666666
Tiu Keng Leng,Sai Kung,Medium,Hearing Impaired,66.66666666666666
Tseung Kwan O,Sai Kung,Medium,Hearing Impaired,66.66666666666666
Hang Hau,Sai Kung,Medium,Hearing Impaired,66.66666666666666
Po Lam,Sai Kung,Medium,Hearing Impaired,66.66666666666666
Nam Cheong,Sham Shui Po,Medium,Hearing Impaired,75.0
Sunny Bay,Tsuen Wan,Low,Hearing Impaired,66.66666666666666
Disneyland Resort,Tsuen Wan,Low,Hearing Impaired,50.0
AsiaWorld-Expo,Islands,Medium,Hearing Impaired,66.66666666666666
LOHAS Park,Sai Kung,Medium,Hearing Impaired,66.66666666666666
Hung Hom,Yau Tsim Mong,Low,Hearing Impaired,66.66666666666666
Mong Kok East,Yau Tsim Mong,Low,Hearing Impaired,66.66666666666666
Tai Wai,Sha Tin,Medium,Hearing Impaired,66.66666666666666
Sha Tin,Sha Tin,Medium,Hearing Impaired,66.66666666666666
Fo Tan,Sha Tin,Low,Hearing Impaired,66.66666666666666
University,Sha Tin,Low,Hearing Impaired,66.66666666666666
Tai Po Market,Tai Po,High,Hearing Impaired,66.66666666666666
Tai Wo,Tai Po,High,Hearing Impaired,66.66666666666666
Fanling,North,Medium,Hearing Impaired,66.66666666666666
Sheung Shui,North,High,Hearing Impaired,66.66666666666666
Lo Wu,North,Low,Hearing Impaired,66.66666666666666
Lok Ma Chau,Yuen Long,Low,Hearing Impaired,66.66666666666666
East Tsim Sha Tsui,Yau Tsim Mong,Medium,Hearing Impaired,75.0
Sai Ying Pun,Central and Western,Medium,Hearing Impaired,66.66666666666666
HKU,Central and Western,Medium,Hearing Impaired,66.66666666666666
Kennedy Town,Central and Western,Low,Hearing Impaired,66.66666666666666
Ho Man Tin,Kowloon City,Medium,Hearing Impaired,83.33333333333334
Whampoa,Kowloon City,Medium,Hearing Impaired,66.66666666666666
Ocean Park,Southern,High,Hearing Impaired,66.66666666666666
Wong Chuk Hang,Southern,High,Hearing Impaired,66.66666666666666
Lei Tung,Southern,High,Hearing Impaired,66.66666666666666
South Horizons,Southern,High,Hearing Impaired,66.66666666666666
Hin Keng,Sha Tin,Low,Hearing Impaired,66.66666666666666
Kai Tak,Kowloon City,Medium,Hearing Impaired,66.66666666666666
Sung Wong Toi,Kowloon City,Medium,Hearing Impaired,66.66666666666666
To Kwa Wan,Kowloon City,Medium,Hearing Impaired,66.66666666666666
Exhibition Centre,Wan Chai,Medium,Hearing Impaired,66.66666666666666
Che Kung Temple,Sha Tin,Medium,Hearing Impaired,66.66666666666666
Sha Tin Wai,Sha Tin,Low,Hearing Impaired,66.66666666666666
City One,Sha Tin,Low,Hearing Impaired,66.66666666666666
Shek Mun,Sha Tin,Low,Hearing Impaired,75.0
Tai Shui Hang,Sha Tin,Low,Hearing Impaired,75.0
Heng On,Sha Tin,Low,Hearing Impaired,75.0
Ma On Shan,Sha Tin,Low,Hearing Impaired,66.66666666666666
Wu Kai Sha,Sha Tin,Low,Hearing Impaired,66.66666666666666
Austin,Yau Tsim Mong,Medium,Hearing Impaired,66.66666666666666
Tsuen Wan West,Tsuen Wan,High,Hearing Impaired,66.66666666666666
Kam Sheung Road,Yuen Long,Medium,Hearing Impaired,66.66666666666666
Yuen Long,Yuen Long,Medium,Hearing Impaired,66.66666666666666
Long Ping,Yuen Long,Medium,Hearing Impaired,66.66666666666666
Tin Shui Wai,Yuen Long,Medium,Hearing Impaired,66.66666666666666
Siu Hong,Tuen Mun,High,Hearing Impaired,66.66666666666666
Tuen Mun,Tuen Mun,High,Hearing Impaired,66.66666666666666
Central,Central and Western,Medium,Visually Impaired,82.14285714285714
Admiralty,Central and Western,Medium,Visually Impaired,78.57142857142857
Tsim Sha Tsui,Yau Tsim Mong,Low,Visually Impaired,96.42857142857144
Jordan,Yau Tsim Mong,Low,Visually Impaired,82.14285714285714
Yau Ma Tei,Yau Tsim Mong,Low,Visually Impaired,82.14285714285714
Mong Kok,Yau Tsim Mong,Medium,Visually Impaired,82.14285714285714
Shek Kip Mei,Sham Shui Po,Medium,Visually Impaired,82.14285714285714
Kowloon Tong,Kowloon City,Medium,Visually Impaired,100.0
Lok Fu,Wong Tai Sin,Medium,Visually Impaired,82.14285714285714
Wong Tai Sin,Wong Tai Sin,High,Visually Impaired,82.14285714285714
Diamond Hill,Wong Tai Sin,Medium,Visually Impaired,82.14285714285714
Choi Hung,Wong Tai Sin,High,Visually Impaired,82.14285714285714
Kowloon Bay,Kwun Tong,Low,Visually Impaired,82.14285714285714
Ngau Tau Kok,Kwun Tong,Medium,Visually Impaired,82.14285714285714
Kwun Tong,Kwun Tong,High,Visually Impaired,82.14285714285714
Prince Edward,Yau Tsim Mong,Low,Visually Impaired,82.14285714285714
Sham Shui Po,Sham Shui Po,Medium,Visually Impaired,78.57142857142857
Cheung Sha Wan,Sham Shui Po,Medium,Visually Impaired,82.14285714285714
Lai Chi Kok,Sham Shui Po,Medium,Visually Impaired,82.14285714285714
Mei Foo,Sham Shui Po,Medium,Visually Impaired,82.14285714285714
Lai King,Kwai Tsing,High,Visually Impaired,82.14285714285714
Kwai Fong,Kwai Tsing,High,Visually Impaired,82.14285714285714
Kwai Hing,Kwai Tsing,High,Visually Impaired,82.14285714285714
Tai Wo Hau,Tsuen Wan,Medium,Visually Impaired,82.14285714285714
Tsuen Wan,Tsuen Wan,High,Visually Impaired,82.14285714285714
Sheung Wan,Central and Western,Medium,Visually Impaired,82.14285714285714
Wan Chai,Wan Chai,High,Visually Impaired,82.14285714285714
Causeway Bay,Wan Chai,High,Visually Impaired,82.14285714285714
Tin Hau,Wan Chai,Medium,Visually Impaired,82.14285714285714
Fortress Hill,Eastern,Low,Visually Impaired,82.14285714285714
North Point,Eastern,High,Visually Impaired,82.14285714285714
Quarry Bay,Eastern,Medium,Visually Impaired,82.14285714285714
Tai Koo,Eastern,High,Visually Impaired,82.14285714285714
Sai Wan Ho,Eastern,Low,Visually Impaired,82.14285714285714
Shau Kei Wan,Eastern,High,Visually Impaired,82.14285714285714
Heng Fa Chuen,Eastern,Low,Visually Impaired,82.14285714285714
Chai Wan,Eastern,Medium,Visually Impaired,82.14285714285714
Lam Tin,Kwun Tong,Medium,Visually Impaired,82.14285714285714
Hong Kong,Central and Western,Medium,Visually Impaired,78.57142857142857
Kowloon,Yau Tsim Mong,Medium,Visually Impaired,82.14285714285714
Olympic,Yau Tsim Mong,Medium,Visually Impaired,82.14285714285714
Tsing Yi,Kwai Tsing,High,Visually Impaired,78.57142857142857
Tung Chung,Islands,High,Visually Impaired,78.57142857142857
Airport,Islands,High,Visually Impaired,64.28571428571429
Yau Tong,Kwun Tong,Medium,Visually Impaired,82.14285714285714
Tiu Keng Leng,Sai Kung,Medium,Visually Impaired,82.14285714285714
Tseung Kwan O,Sai Kung,Medium,Visually Impaired,82.14285714285714
Hang Hau,Sai Kung,Medium,Visually Impaired,82.14285714285714
Po Lam,Sai Kung,Medium,Visually Impaired,82.14285714285714
Nam Cheong,Sham Shui Po,Medium,Visually Impaired,82.14285714285714
Sunny Bay,Tsuen Wan,Low,Visually Impaired,82.14285714285714
Disneyland Resort,Tsuen Wan,Low,Visually Impaired,78.57142857142857
AsiaWorld-Expo,Islands,Medium,Visually Impaired,82.14285714285714
LOHAS Park,Sai Kung,Medium,Visually Impaired,82.14285714285714
Hung Hom,Yau Tsim Mong,Low,Visually Impaired,82.14285714285714
Mong Kok East,Yau Tsim Mong,Low,Visually Impaired,100.0
Tai Wai,Sha Tin,Medium,Visually Impaired,100.0
Sha Tin,Sha Tin,Medium,Visually Impaired,100.0
Fo Tan,Sha Tin,Low,Visually Impaired,100.0
University,Sha Tin,Low,Visually Impaired,100.0
Tai Po Market,Tai Po,High,Visually Impaired,100.0
Tai Wo,Tai Po,High,Visually Impaired,100.0
Fanling,North,Medium,Visually Impaired,100.0
Sheung Shui,North,High,Visually Impaired,100.0
Lo Wu,North,Low,Visually Impaired,100.0
Lok Ma Chau,Yuen Long,Low,Visually Impaired,100.0
East Tsim Sha Tsui,Yau Tsim Mong,Medium,Visually Impaired,82.14285714285714
Sai Ying Pun,Central and Western,Medium,Visually Impaired,82.14285714285714
HKU,Central and Western,Medium,Visually Impaired,82.14285714285714
Kennedy Town,Central and Western,Low,Visually Impaired,82.14285714285714
Ho Man Tin,Kowloon City,Medium,Visually Impaired,100.0
Whampoa,Kowloon City,Medium,Visually Impaired,82.14285714285714
Ocean Park,Southern,High,Visually Impaired,75.0
Wong Chuk Hang,Southern,High,Visually Impaired,75.0
Lei Tung,Southern,High,Visually Impaired,75.0
South Horizons,Southern,High,Visually Impaired,75.0
Hin Keng,Sha Tin,Low,Visually Impaired,82.14285714285714
Kai Tak,Kowloon City,Medium,Visually Impaired,82.14285714285714
Sung Wong Toi,Kowloon City,Medium,Visually Impaired,82.14285714285714
To Kwa Wan,Kowloon City,Medium,Visually Impaired,82.14285714285714
Exhibition Centre,Wan Chai,Medium,Visually Impaired,82.14285714285714
Che Kung Temple,Sha Tin,Medium,Visually Impaired,100.0
Sha Tin Wai,Sha Tin,Low,Visually Impaired,100.0
City One,Sha Tin,Low,Visually Impaired,100.0
Shek Mun,Sha Tin,Low,Visually Impaired,100.0
Tai Shui Hang,Sha Tin,Low,Visually Impaired,100.0
Heng On,Sha Tin,Low,Visually Impaired,100.0
Ma On Shan,Sha Tin,Low,Visually Impaired,100.0
Wu Kai Sha,Sha Tin,Low,Visually Impaired,100.0
Austin,Yau Tsim Mong,Medium,Visually Impaired,82.14285714285714
Tsuen Wan West,Tsuen Wan,High,Visually Impaired,82.14285714285714
Kam Sheung Road,Yuen Long,Medium,Visually Impaired,82.14285714285714
Yuen Long,Yuen Long,Medium,Visually Impaired,82.14285714285714
Long Ping,Yuen Long,Medium,Visually Impaired,82.14285714285714
Tin Shui Wai,Yuen Long,Medium,Visually Impaired,82.14285714285714
Siu Hong,Tuen Mun,High,Visually Impaired,82.14285714285714
Tuen Mun,Tuen Mun,High,Visually Impaired,82.14285714285714
Central,Central and Western,Medium,Mobility Impaired,60.0
Admiralty,Central and Western,Medium,Mobility Impaired,60.0
Tsim Sha Tsui,Yau Tsim Mong,Low,Mobility Impaired,60.0
Jordan,Yau Tsim Mong,Low,Mobility Impaired,44.0
Yau Ma Tei,Yau Tsim Mong,Low,Mobility Impaired,60.0
Mong Kok,Yau Tsim Mong,Medium,Mobility Impaired,60.0
Shek Kip Mei,Sham Shui Po,Medium,Mobility Impaired,44.0
Kowloon Tong,Kowloon City,Medium,Mobility Impaired,68.0
Lok Fu,Wong Tai Sin,Medium,Mobility Impaired,44.0
Wong Tai Sin,Wong Tai Sin,High,Mobility Impaired,44.0
Diamond Hill,Wong Tai Sin,Medium,Mobility Impaired,60.0
Choi Hung,Wong Tai Sin,High,Mobility Impaired,44.0
Kowloon Bay,Kwun Tong,Low,Mobility Impaired,44.0
Ngau Tau Kok,Kwun Tong,Medium,Mobility Impaired,60.0
Kwun Tong,Kwun Tong,High,Mobility Impaired,44.0
Prince Edward,Yau Tsim Mong,Low,Mobility Impaired,60.0
Sham Shui Po,Sham Shui Po,Medium,Mobility Impaired,44.0
Cheung Sha Wan,Sham Shui Po,Medium,Mobility Impaired,44.0
Lai Chi Kok,Sham Shui Po,Medium,Mobility Impaired,44.0
Mei Foo,Sham Shui Po,Medium,Mobility Impaired,64.0
Lai King,Kwai Tsing,High,Mobility Impaired,60.0
Kwai Fong,Kwai Tsing,High,Mobility Impaired,44.0
Kwai Hing,Kwai Tsing,High,Mobility Impaired,44.0
Tai Wo Hau,Tsuen Wan,Medium,Mobility Impaired,44.0
Tsuen Wan,Tsuen Wan,High,Mobility Impaired,44.0
