station_no,station_code,station_name_en,area,old_population_percentage,hearing_impared_facility,mobility_impared_facility,visually_impaired_facility,system_accessibility,total_facility_score,facility_score_category,area_needs,area_adjustment_score,non_normal_accessibility_index,accessibility_index,accessibility_category,priority_level
1,CEN,Central,Central and Western,19.279687056320537,84,140,252,84,560,High,Low,1,561,801.4285714285714,High,Low
2,ADM,Admiralty,Central and Western,19.279687056320537,56,70,119,56,301,Medium,Low,0,301,430.0,Medium,Low
3,TST,Tsim Sha Tsui,Yau Tsim Mong,17.88782766290999,72,108,240,96,516,High,Low,1,517,738.5714285714287,High,Low
4,JOR,Jordan,Yau Tsim Mong,17.88782766290999,42,56,126,42,266,Medium,Low,0,266,380.0,Medium,Low
5,YMT,Yau Ma Tei,Yau Tsim Mong,17.88782766290999,42,70,126,56,294,Medium,Low,0,294,420.0,Medium,Low
6,MOK,Mong Kok,Yau Tsim Mong,17.88782766290999,90,150,270,90,600,High,Low,1,601,858.5714285714286,High,Low
7,SKM,Shek Kip Mei,Sham Shui Po,20.398292699900253,30,40,90,50,210,Medium,High,-1,209,298.57142857142856,Low,Medium
8,KOT,Kowloon Tong,Kowloon City,20.080655766448956,64,96,168,88,416,High,High,2,418,597.1428571428571,High,Low
9,LOF,Lok Fu,Wong Tai Sin,22.96227648831618,12,16,36,10,74,Low,Very High,-3,71,101.42857142857142,Low,High
10,WTS,Wong Tai Sin,Wong Tai Sin,22.96227648831618,60,80,180,80,400,High,Very High,3,403,575.7142857142857,High,Low
11,DIH,Diamond Hill,Wong Tai Sin,22.96227648831618,48,60,108,60,276,Medium,Very High,-2,274,391.4285714285714,Medium,High
12,CHH,Choi Hung,Wong Tai Sin,22.96227648831618,30,40,90,25,185,Medium,Very High,-2,183,261.42857142857144,Low,High
13,KOB,Kowloon Bay,Kwun Tong,21.947186875154124,18,24,54,39,135,Medium,Very High,-2,133,190.0,Low,High
14,NTK,Ngau Tau Kok,Kwun Tong,21.947186875154124,48,80,144,40,312,Medium,Very High,-2,310,442.8571428571429,Medium,High
15,KWT,Kwun Tong,Kwun Tong,21.947186875154124,96,128,288,128,640,High,Very High,3,643,918.5714285714286,High,Low
16,PRE,Prince Edward,Yau Tsim Mong,17.88782766290999,42,70,126,56,294,Medium,Low,0,294,420.0,Medium,Low
17,SSP,Sham Shui Po,Sham Shui Po,20.398292699900253,48,64,136,64,312,Medium,High,-1,311,444.28571428571433,Medium,Medium
