Item_Code,Facility_En,Points,Rationale
VJ1,Tactile Guide Paths,5,Aids visually impaired in navigation
VJ2,Escalator Audible Warning Signals,3,"Helpful for walking-impaired, though not wheelchair-friendly"
VJ3,Platform Tactile Yellow Lines,5,Enhances platform edge safety through visual caution
VJ4,Audible Device,2,Alerts visually impaired; niche usage
VJ5,Braille,1,Helps visually impaired locate facilities; limited use among elderly
VJ6,Colour Contrast Grab Poles,1,Helpful but not critical
VJ7,Buzzer,5,Emergency communication essential
VJ8,Colour Contrast Inter-Car Barriers,1,Visual aid but not critical
VIn1,Tactile Station Layout Maps,1,Supplementary to tactile paths
VIn2,Modification of Obstructions,4,Critical for clear pathways
MJ1,Wide Gates,5,Essential for wheelchair access
MJ2,Portable or Movable Ramps,4,Critical backup for lift failures
MJ3,Multi-Purpose Areas,1,Comfort feature
MJ4,Accessible Toilets (Unpaid Area),5,Crucial for longer travel and elderly health needs
MJ5,Accessible Toilets (Paid Area),5,Crucial for longer travel and elderly health needs
MJ6,Accessible Toilets (Staff Area),1,Least critical toilet location
MJ8,Socket for Powered Wheelchair,2,Important for wheelchair users
MJ7,Accessible-car service (Contact Station Staff to arrange on arrival),2,No specific elderly-related impact identified
HJ1,Induction Loops,4,Important for hearing impaired
HJ2,Passenger Info Display Systems,1,Supplementary information
HJ3,Flashing System Maps,1,Visual aid but not critical
HJ4,Active Line Diagrams,1,Supplementary information
HJ5,On Train Info - Infopanels,1,Supplementary information
HJ6,On Train Info - LCD Infopanels,1,Supplementary information
HJ7,On Train Info - MTR In-train TV,1,Supplementary information
HIn1,Information Cards,1,Supplementary information
HJ8,On Train Info - OPIS (For LR),1,Supplementary information
AJ1,Same Level,3,Critical for wheelchair boarding
AJ2,Ramp,3,Important accessibility feature
AJ3,Lift - Unpaid Area,5,Essential for elderly with limited mobility or using wheelchairs
AJ4,Lift - Unpaid Area (Non MTR managed facility),5,Essential for elderly with limited mobility or using wheelchairs
AJ5,Stair Lift,5,Essential for elderly with limited mobility or using wheelchairs
AJ6,Wheelchair Aid,3,Essential mobility assistance
AJ7,Stair Lift (Non MTR managed facility),5,Essential for elderly with limited mobility or using wheelchairs
AJ8,Lift - Paid Area,5,Essential for elderly with limited mobility or using wheelchairs
AJ9,Vertical Lifting Platform,5,Essential for elderly with limited mobility or using wheelchairs
